media_file,annotator,start,end,label
24fb,A1,30973,31086,B;FG;1
24fb,bau,30973,31086,B;FG;1
24fb,mas,30973,31086,B;FG;1
24fb,sad,30973,31086,B;FG;1
24fb,A1,32467,33527,MUR;FG;1
24fb,bau,32467,33527,MUR;FG;1
24fb,mas,32467,33527,MUR;FG;1
24fb,sad,32467,33527,MUR;FG;1
24fb,A3,32540,33280,MUR; 0; 0
24fb,A2,32600,33170,MUR;0;0
24fb,A2,33210,33610,B;FG;1
24fb,A3,33350,33700,B; 0; 1
24fb,A1,33559,33766,ISR;FG;1
24fb,A2,37405,38065,SR;0;0
24fb,sad,37405,38065,SR;0;0
24fb,A3,37430,37990,SR; 0; 0
24fb,A1,37493,37973,SR;0;0
24fb,bau,37493,37973,SR;0;0
24fb,mas,37493,37973,SR;0;0
24fb,A3,38300,39200,SR; 0; 0
24fb,A1,38513,38706,B;FG;1
24fb,bau,38513,38706,B;FG;1
24fb,mas,38513,38706,B;FG;1
24fb,sad,38513,38706,B;FG;1
24fb,A3,40300,40760,SR; 0; 0
24fb,A2,40330,40780,SR;0;0
24fb,A1,40347,40653,SR;0;0
24fb,bau,40347,40653,SR;0;0
24fb,mas,40347,40653,SR;0;0
24fb,sad,40347,40653,SR;0;0
24fb,A2,49250,49970,B;0;0
24fb,bau,49250,49970,B;0;0
24fb,mas,49250,49970,B;0;0
24fb,sad,49250,49970,B;0;0
24fb,A3,50050,50120,B; 0; 0
24fb,bau,50050,50120,B; 0; 0
24fb,mas,50050,50120,B; 0; 0
24fb,sad,50050,50120,B; 0; 0
24fb,A2,52970,54840,SR+MUR;FG;0
24fb,sad,52970,54840,SR+MUR;FG;0
24fb,A3,54280,54820,SR; 0; 0
24fb,bau,54280,54820,SR; 0; 0
24fb,mas,54280,54820,SR; 0; 0
24fb,A2,57400,58070,B;FG+V;1
24fb,A3,57440,58050,B; V+FG+ME; 1
24fb,A1,57713,58073,B;FG;2
24fb,bau,57713,58073,B;FG;2
24fb,mas,57713,58073,B;FG;2
24fb,sad,57713,58073,B;FG;2
24fb,A2,60100,60670,SR;0;0
24fb,sad,60100,60670,SR;0;0
24fb,A3,60110,60560,SR; 0; 0
24fb,bau,60110,60560,SR; 0; 0
24fb,mas,60110,60560,SR; 0; 0
24fb,A3,61030,61740,MUR; 0; 0
24fb,bau,61030,61740,MUR; 0; 0
24fb,mas,61030,61740,MUR; 0; 0
24fb,sad,61030,61740,MUR; 0; 0
24fb,A3,65160,66090,B; 0; 0
24fb,bau,65160,66090,B; 0; 0
24fb,mas,65160,66090,B; 0; 0
24fb,sad,65160,66090,B; 0; 0
24fb,A2,67560,68100,SR;0;0
24fb,sad,67560,68100,SR;0;0
24fb,A3,67580,68250,SR; 0; 0
24fb,bau,67580,68250,SR; 0; 0
24fb,mas,67580,68250,SR; 0; 0
24fb,A2,70090,71530,MUR;0;0
24fb,sad,70090,71530,MUR;0;0
24fb,A3,71040,71630,B; FG; 0
24fb,bau,71040,71630,B; FG; 0
24fb,mas,71040,71630,B; FG; 0
24fb,A2,74410,74940,SR;0;0
24fb,bau,74410,74940,SR;0;0
24fb,mas,74410,74940,SR;0;0
24fb,sad,74410,74940,SR;0;0
24fb,A2,80660,81570,SR+B;FG;1
24fb,A3,80800,81530,B; FG; 1
24fb,A1,80967,81627,B;FG;2
24fb,bau,80967,81627,B;FG;2
24fb,mas,80967,81627,B;FG;2
24fb,sad,80967,81627,B;FG;2
24fb,A3,83980,84370,ISR; 0; 0
24fb,bau,83980,84370,ISR; 0; 0
24fb,mas,83980,84370,ISR; 0; 0
24fb,A2,84020,84380,SR;0;0
24fb,sad,84020,84380,SR;0;0
