media_file,split,annotator,item,start,end,SR,ISR,MUR,P,B,V,FG,HM,ME,T
24fb,train,A1,"24fb-(30973, 31086)",30973,31086,0,0,0,0,1,0,1,0,0,1
24fb,train,bau,"24fb-(30973, 31086)",30973,31086,0,0,0,0,1,0,1,0,0,1
24fb,train,mas,"24fb-(30973, 31086)",30973,31086,0,0,0,0,1,0,1,0,0,1
24fb,train,sad,"24fb-(30973, 31086)",30973,31086,0,0,0,0,1,0,1,0,0,1
24fb,train,A1,"24fb-(32467, 33766)",32467,33527,0,0,1,0,0,0,1,0,0,1
24fb,train,bau,"24fb-(32467, 33766)",32467,33527,0,0,1,0,0,0,1,0,0,1
24fb,train,mas,"24fb-(32467, 33766)",32467,33527,0,0,1,0,0,0,1,0,0,1
24fb,train,sad,"24fb-(32467, 33766)",32467,33527,0,0,1,0,0,0,1,0,0,1
24fb,train,A3,"24fb-(32467, 33766)",32540,33280,0,0,1,0,0,0,0,0,0,0
24fb,train,A2,"24fb-(32467, 33766)",32600,33170,0,0,1,0,0,0,0,0,0,0
24fb,train,A2,"24fb-(32467, 33766)",33210,33610,0,0,0,0,1,0,1,0,0,1
24fb,train,A3,"24fb-(32467, 33766)",33350,33700,0,0,0,0,1,0,0,0,0,1
24fb,train,A1,"24fb-(32467, 33766)",33559,33766,0,1,0,0,0,0,1,0,0,1
24fb,train,A2,"24fb-(37405, 38065)",37405,38065,1,0,0,0,0,0,0,0,0,0
24fb,train,sad,"24fb-(37405, 38065)",37405,38065,1,0,0,0,0,0,0,0,0,0
24fb,train,A3,"24fb-(37405, 38065)",37430,37990,1,0,0,0,0,0,0,0,0,0
24fb,train,A1,"24fb-(37405, 38065)",37493,37973,1,0,0,0,0,0,0,0,0,0
24fb,train,bau,"24fb-(37405, 38065)",37493,37973,1,0,0,0,0,0,0,0,0,0
24fb,train,mas,"24fb-(37405, 38065)",37493,37973,1,0,0,0,0,0,0,0,0,0
24fb,train,A3,"24fb-(38300, 39200)",38300,39200,1,0,0,0,0,0,0,0,0,0
24fb,train,A1,"24fb-(38300, 39200)",38513,38706,0,0,0,0,1,0,1,0,0,1
24fb,train,bau,"24fb-(38300, 39200)",38513,38706,0,0,0,0,1,0,1,0,0,1
24fb,train,mas,"24fb-(38300, 39200)",38513,38706,0,0,0,0,1,0,1,0,0,1
24fb,train,sad,"24fb-(38300, 39200)",38513,38706,0,0,0,0,1,0,1,0,0,1
24fb,train,A3,"24fb-(40300, 40780)",40300,40760,1,0,0,0,0,0,0,0,0,0
24fb,train,A2,"24fb-(40300, 40780)",40330,40780,1,0,0,0,0,0,0,0,0,0
24fb,train,A1,"24fb-(40300, 40780)",40347,40653,1,0,0,0,0,0,0,0,0,0
24fb,train,bau,"24fb-(40300, 40780)",40347,40653,1,0,0,0,0,0,0,0,0,0
24fb,train,mas,"24fb-(40300, 40780)",40347,40653,1,0,0,0,0,0,0,0,0,0
24fb,train,sad,"24fb-(40300, 40780)",40347,40653,1,0,0,0,0,0,0,0,0,0
24fb,train,A2,"24fb-(49250, 49970)",49250,49970,0,0,0,0,1,0,0,0,0,0
24fb,train,bau,"24fb-(49250, 49970)",49250,49970,0,0,0,0,1,0,0,0,0,0
24fb,train,mas,"24fb-(49250, 49970)",49250,49970,0,0,0,0,1,0,0,0,0,0
24fb,train,sad,"24fb-(49250, 49970)",49250,49970,0,0,0,0,1,0,0,0,0,0
24fb,train,A3,"24fb-(50050, 50120)",50050,50120,0,0,0,0,1,0,0,0,0,0
24fb,train,bau,"24fb-(50050, 50120)",50050,50120,0,0,0,0,1,0,0,0,0,0
24fb,train,mas,"24fb-(50050, 50120)",50050,50120,0,0,0,0,1,0,0,0,0,0
24fb,train,sad,"24fb-(50050, 50120)",50050,50120,0,0,0,0,1,0,0,0,0,0
24fb,train,A2,"24fb-(52970, 54840)",52970,54840,1,0,1,0,0,0,1,0,0,0
24fb,train,sad,"24fb-(52970, 54840)",52970,54840,1,0,1,0,0,0,1,0,0,0
24fb,train,A3,"24fb-(52970, 54840)",54280,54820,1,0,0,0,0,0,0,0,0,0
