media_file,annotator,start,end,label
50fb,INV,0,10452,please talk about the impact of stuttering on your daily life .
50fb,INV,10452,17722,you can talk about your interactions with family and friends .
50fb,INV,17722,21075,school and or work .
50fb,INV,21075,26083,and your participation in community activities .
50fb,INV,26083,26163,okay .
50fb,INV,26163,26363,what do you think causes stuttering ?
50fb,INV,26363,26443,okay .
50fb,INV,26443,26643,&=laughs .
50fb,INV,26643,26723,alright .
50fb,INV,196042,208114,if you have received treatment for your stuttering tell me about  your therapy experiences .
50fb,INV,208114,210400,and the outcomes of these therapies .
50fb,INV,210400,210405,oh .
50fb,INV,210405,210410,oh .
50fb,INV,210410,210415,hm .
50fb,INV,210415,210615,what were some of the therapy strategies or techniques that were  taught ?
50fb,INV,210615,210620,hm .
50fb,INV,416545,436791,<what would you> [//] what would your advice be for someone who  stutters who is considering such a program ?
50fb,INV,459341,467239,&-um how about both scenarios ?
50fb,INV,467239,467244,oh .
50fb,INV,467244,467249,hm .
50fb,INV,467249,467329,yeah .
50fb,INV,467329,467334,hm .
50fb,INV,467334,467339,hm .
50fb,INV,792859,808850,please describe what does successful communication mean to you ?
50fb,INV,808850,817522,and can you provide an example of a positive communicative  experience ?
50fb,INV,928608,946478,if you didn't stutter what might be different in your life ?
50fb,INV,949215,977747,what else would you wanna say to students or the general public to  help them learn about stuttering or ways to support people who  stutter ?
50fb,PAR,26083,50110,my [/] my stutter does not impact my daily life all that much .
50fb,PAR,50110,50310,right now .
50fb,PAR,50310,68552,in that I'm [/] I'm [/] I'm [/] I'm [/] I'm [/] I'm [/] I'm [/] I'm  &-uh very happy .
50fb,PAR,68552,71886,with my work situation .
50fb,PAR,71886,80374,I've got a [/] a [/] a [/] a [/] a [/] a bunch of friends .
50fb,PAR,80374,91214,both from where I currently live and from all of the places that  I've previously lived .
50fb,PAR,91214,99064,and [/] and [/] and I keep up a social schedule that would kill a  horse .
50fb,PAR,99064,128734,&-um &-uh for what I've read it's the [/] the [/] the root cause is  [/] is neurological .
50fb,PAR,128734,151525,and it may be that we process language in a different part of the  brain .
50fb,PAR,151525,154333,that hasn't been optimized for it .
50fb,PAR,154333,180367,there [/] there's [/] there's also some work investigating the  basal ganglia .
50fb,PAR,180367,188657,and [/] and [/] and [/] and [/] and the [/] the [/] the dopamine  levels .
50fb,PAR,188657,196042,and [/] and for the record this is not my field at all .
50fb,PAR,210400,224287,back in the late eighties and early nineties I went through the  fluency shaping wars .
50fb,PAR,224287,225837,several times .
50fb,PAR,225837,243548,and [/] and my [/] my [/] my first round of therapy was a three  week intensive program .
50fb,PAR,243548,243748,I came into there like this .
50fb,PAR,243748,243948,out_of there like this .
50fb,PAR,243948,256670,and four months later I was in [/] in the sub basement .
50fb,PAR,256670,256870,so [/] so [/] so_that huge [/] huge [/] huge whiplash from going in  so low .
50fb,PAR,256870,257070,leaving fluent .
50fb,PAR,257070,309748,and then four months later being [/] being even worse than my  original entry point hurt .
50fb,PAR,309748,320452,and [/] and that was difficult to deal with .
50fb,PAR,320452,346414,it was the [/] the classic precision fluency shaping .
50fb,PAR,346414,355450,where they slow your speech down to two seconds a syllable .
50fb,PAR,355450,355650,and [/] and then you relearn all of the targets .
50fb,PAR,355650,370825,such as prolongation soft contact and easy onset .
50fb,PAR,370825,371025,so for example I would be speaking like that .
50fb,PAR,381481,395143,and then they gradually speed you up to one second a syllable .
50fb,PAR,395143,395343,half a second a syllable .
50fb,PAR,395343,402990,and then something called slow normal .
50fb,PAR,402990,416545,and even slow normal is still noticeably slower than most people's  speech rate .
50fb,PAR,436791,449990,are you [/] you [/] you [/] you [/] you talking about therapy in  general ?
50fb,PAR,449990,459341,or [/] or [/] or [/] or [/] or [/] or just this particular fluency  shaping ?
50fb,PAR,467239,488798,the [/] the fluency shaping gains [/] gains are almost impossible  to both transfer and maintain .
50fb,PAR,488798,516577,because <what they> [/] what they ask of you is to learn this  artificial speaking style .
50fb,PAR,516577,523248,that does not match your usual style .
50fb,PAR,523248,526899,so_that is very difficult .
50fb,PAR,526899,541370,and then what you are expected to do is to monitor every single  syllable that you say for the rest of your life .
50fb,PAR,541370,545490,and nobody can do that .
50fb,PAR,545490,545690,so it's very difficult seeing the gains that you make in the clinic  .
50fb,PAR,545690,578798,and then you [/] you try to transfer them to and maintain them in  the outside world .
50fb,PAR,578798,594748,and [/] and even though some people have been able to do that  spectacularly well .
50fb,PAR,594748,602634,the great majority of people will not be able to .
50fb,PAR,602634,622376,so [/] so that's the single biggest criticism that I have .
50fb,PAR,622376,635533,because it just does not transfer to the outside world .
50fb,PAR,635533,674185,and [/] and [/] and [/] and the new therapy styles <seem to> [/]  seem to [/] to [/] to be a different paradigm .
50fb,PAR,674185,674385,in that the goal is not making you fluent .
50fb,PAR,674385,689869,the goal is making you an easier stutterer .
50fb,PAR,689869,702066,which is a [/] a very different mindset .
50fb,PAR,702066,702266,and [/] and [/] and [/] and [/] and what they [/] they [/] they  seem to focus on +//.
50fb,PAR,702266,702466,although all I know is from just talking to people .
50fb,PAR,702466,741485,rather than any personal experience .
50fb,PAR,741485,757659,<the goal> [/] the goal seems to be working with your existing  style of speech .
50fb,PAR,757659,788691,and [/] and [/] and [/] and [/] and [/] and [/] and [/] and [/] and  making you [/] you [/] you a [/] a [/] a better communicator .
50fb,PAR,788691,792859,although not necessarily a fluent one .
50fb,PAR,817522,831693,&-um basically not being afraid of speaking up .
50fb,PAR,831693,851687,and [/] and [/] and being [/] being able to get your [/] your point  across .
50fb,PAR,851687,857124,in a relatively clear and efficient manner .
50fb,PAR,857124,864075,not necessarily a fluent one .
