media_file,annotator,start,end,label
60m,A2,5800,6560,_;FG;1
60m,A2,9830,10380,_;HM;1
60m,A2,11100,11630,_;FG+HM;1
60m,A2,17120,17460,_;FG+HM;1
60m,A2,29220,31020,MUR;0;1
60m,A2,33790,34210,_;FG;1
60m,A2,37780,38300,_;FG;1
60m,A2,38380,38740,_;FG+HM;1
60m,A2,39820,40330,_;FG+HM;1
60m,A2,43220,43720,P;0;0
60m,A2,51740,52300,_;FG;1
60m,A2,63010,63490,_;HM;1
60m,A2,66215,66535,P;0;1
60m,A2,71955,72895,B;V;1
60m,A2,97460,98540,_;FG;1
60m,A2,99350,100140,SR;0;1
60m,A2,102090,103320,MUR;0;1
60m,A2,109520,113340,MUR;HM;1
60m,A3,2360,3230,B;0;0
60m,A3,7730,7880,B;0;0
60m,A3,21250,22090,B;0;0
60m,A3,22930,23850,B;0;0
60m,A3,43780,44050,P;0;0
60m,A3,68130,68590,B;0;0
60m,A3,97190,98790,B;FG;1
60m,A3,99380,100200,SR;0;0
60m,A3,102150,103450,MUR;0;0
60m,A3,109770,113240,MUR;0;1
60m,A3,115480,115930,B;0;0
60m,A1,7470,7860,B;FG;1
60m,A1,43490,43990,P;FG;1
60m,A1,97340,98670,B;FG;1
60m,A1,99610,100080,B;0;0
24mb,A2,2800,3200,_;FG;1
24mb,A2,3880,4120,_;FG;1
24mb,A2,7280,7840,_;FG;1
24mb,A2,8440,8720,_;FG;1
24mb,A2,9200,9600,_;FG;1
24mb,A2,13200,13640,_;FG;1
24mb,A2,14320,14800,_;FG;1
24mb,A2,15800,16840,MUR;0;1
24mb,A2,17560,19160,_;FG;1
24mb,A2,20720,21200,_;FG;1
24mb,A2,23472,24000,B;FG;1
24mb,A2,25240,25600,_;FG;1
24mb,A2,27496,27752,_;FG;1
24mb,A2,31284,31980,P;FG;1
24mb,A2,33440,33800,_;FG;1
24mb,A2,34960,35560,_;FG;1
24mb,A2,37804,38244,_;FG;1
24mb,A2,41280,41880,_;FG;1
24mb,A2,43320,43720,_;FG;1
24mb,A2,46932,48744,SR;FG;1
24mb,A2,50360,50880,_;FG;1
24mb,A2,51168,51976,MUR;FG;1
24mb,A2,54802,55176,B;FG;2
24mb,A2,56760,57120,_;FG;1
24mb,A2,60560,61040,_;FG+HM;1
24mb,A2,62960,63360,_;FG;1
24mb,A2,65800,66280,_;FG;1
24mb,A2,67880,68320,_;FG;1
24mb,A2,70280,70560,_;FG;1
24mb,A2,79600,80080,_;FG;1
24mb,A2,80880,81280,_;FG;1
24mb,A2,83994,84408,_;FG;2
24mb,A2,85372,86072,SR;0;1
24mb,A3,2380,2560,P;0;0
24mb,A3,17610,17870,P;0;0
24mb,A3,23520,23800,B;0;0
24mb,A3,32190,32390,SR;FG;1
24mb,A3,45160,45340,B;0;0
24mb,A3,47440,48770,ISR;0;0
24mb,A3,51320,52000,MUR;FG;1
24mb,A3,54830,55190,B;FG;0
24mb,A3,85460,85680,SR;0;0
24mb,A1,47420,48720,B:0:0
24mb,A1,54830,55140,B;0;0
24mb,A1,85433,85609,ISR;FG;1
33m,A2,4200,6240,P;FG;2
33m,A2,10680,16060,B+SR;FG+HM;1
33m,A2,17359,17886,B;FG;2
33m,A2,18650,24100,P;V+FG;2
33m,A2,26270,26870,SR;0;1
33m,A2,30740,31580,_;FG+HM;11
33m,A2,32850,33310,P;0;1
33m,A2,37280,37940,_;FG;1
33m,A2,40600,40920,_;FG;1
33m,A2,42223,43490,B;FG;2
33m,A2,44920,49200,B+SR;HM;2
33m,A2,51770,58130,B+SR;HM;2
33m,A2,59270,65240,P;FG+HM;2
33m,A2,65796,68950,P;FG+HM;1
33m,A2,70200,71650,P;FG;1
33m,A2,75026,76273,_;V;FG+HM;2
33m,A2,76840,81750,B;FG+HM;2
33m,A2,83580,84000,_;FG;1
33m,A2,84580,86950,B;FG;1
33m,A2,87780,88540,SR;0;1
33m,A2,90150,91360,SR;FG;1
33m,A2,92640,92930,B;_;1
33m,A2,94420,99960,B;FG;2
33m,A2,100680,101060,_;FG;1
33m,A2,104060,106080,B;FG;2
33m,A2,107030,108260,MUR;FG+HM;1
33m,A2,108300,109380,B;FG;2
33m,A2,110930,111760,SR;0;1
33m,A2,112530,113290,P;0;1
33m,A2,116581,116714,B;0;1
33m,A2,119720,120580,_;HM+ME;1
33m,A2,121670,123250,MUR;FG+HM;1
33m,A2,123300,124480,B;HM;2
33m,A2,126160,127420,P;FG;2
33m,A2,127865,130255,B;0;2
33m,A2,130820,131180,B;0;1
33m,A2,132630,139640,ISR;FG+HM;2
33m,A2,140626,141173,B;0;1
33m,A2,142526,142673,B;FG;1
33m,A2,144460,146550,P;FG;2
33m,A2,147160,148940,_;V+FG+HM;1
33m,A2,149085,150011,SR+B;0;2
33m,A2,151075,151605,B;V;2
33m,A2,152055,153455,MUR;FG;1
33m,A2,153475,155830,B;FG;2
33m,A2,156400,157620,SR;FG;1
33m,A2,158485,160335,B;FG+HM;2
33m,A2,160860,164840,P;FG;2
33m,A2,165520,166180,_;FG;1
33m,A2,167520,168850,B;FG;2
33m,A2,170650,176290,P;FG;1
33m,A2,178070,189750,B;V+FG;2
33m,A2,191140,193840,B;V+FG;2
33m,A2,194900,196300,B;FG;1
33m,A2,198280,200180,B;FG;2
33m,A2,200980,205120,B;V+FG+HM;2
33m,A2,206913,207356,SR;0;1
33m,A2,210606,215406,P;0;1
33m,A3,4110,6350,P;0;0
33m,A3,11080,16590,SR;0;0
33m,A3,17410,18140,ISR;0;0
33m,A3,18640,24220,P;V;0
33m,A3,32930,33400,P;0;0
33m,A3,42310,43770,B;0;1
33m,A3,45270,49510,SR;0;0
33m,A3,52210,58470,SR;V;0
33m,A3,59470,65300,P;0;0
33m,A3,65780,69210,SR;0;0
33m,A3,70250,71680,ISR;0;0
33m,A3,74810,76830,SR;0;0
33m,A3,76870,81770,B;0;0;
33m,A3,84570,86980,ISR;0;0
33m,A3,88390,88690,SR;0;0
33m,A3,90570,91320,ISR;0;0
33m,A3,92670,92990,P;0;0
33m,A3,94180,100070,P;0;0
33m,A3,104290,106060,ISR;V;0
33m,A3,107060,108020,SR;0;0
33m,A3,108600,109460,ISR;0;0
33m,A3,110790,111790,SR;0;0
33m,A3,112370,113300,B;V;0
33m,A3,121780,123220,MUR;0;0
33m,A3,123280,124550,B;V;0
33m,A3,126090,127460,P;0;0
33m,A3,127830,130350,B;0;0
33m,A3,130800,131210,B;0;0
33m,A3,132890,139640,SR;V;0
33m,A3,141160,141360,P;0;0
33m,A3,144420,146630,P;0;0
33m,A3,149550,150210,ISR;0;0
33m,A3,151250,151690,B;0;0
33m,A3,152450,153510,MUR;0;0
33m,A3,154020,154350,ISR;0;0
33m,A3,154390,155850,B;0;0
33m,A3,156670,157650,ISR;0;0
33m,A3,158400,160480,B;V;0
33m,A3,161060,165010,ISR;0;0
33m,A3,167490,168950,B;0;0
33m,A3,170790,176340,P;0;0
33m,A3,178027,194378,ISR;V;1
33m,A3,195567,196486,ISR;0;0
33m,A3,198189,205216,SR;V;0
33m,A3,207053,207432,SR;0;0
33m,A3,210729,215675,P;0;0
33m,A1,4160,6340,P;0;0
33m,A1,10680,16490,SR;0;0
33m,A1,17350,18030,ISR;FG;1
33m,A1,18630,24190,ISR;FG;1
33m,A1,32990,33350,P;0;0
33m,A1,42352,43751,B;FG;1
33m,A1,45206,49489,SR;0;0
33m,A1,52195,58456,SR;0;0
33m,A1,58815,65272,ISR;FG+ME;1
33m,A1,65837,68934,ISR;FG;1
33m,A1,70195,71673,ISR;FG;1
33m,A1,76880,81695,B;0;0
33m,A1,84717,87054,ISR;0;0
33m,A1,88250,88652,ISR;0;0
33m,A1,90185,91315,SR;0;0
33m,A1,92684,92956,P;0;0
33m,A1,94423,100032,ISR;FG;1
33m,A1,104065,105924,P;FG;1
33m,A1,108337,109348,ISR;0;0
33m,A1,112478,113261,P;0;0
33m,A1,123217,124554,P;0;0
33m,A1,126065,127467,P;0;0
33m,A1,127848,130304,B;0;0
33m,A1,132673,139619,SR;0;0
33m,A1,144510,146488,P;FG;1
33m,A1,149075,150032,SR;0;0
33m,A1,151304,151674,B;0;0
33m,A1,153565,155859,SR;V+FG;2
33m,A1,156423,157641,SR;FG;1
33m,A1,158424,160413,B;0;0
33m,A1,160869,164858,ISR;0;0
33m,A1,167521,168913,B;0;0
33m,A1,170467,176282,ISR;FG;1
33m,A1,178012,193987,ISR;FG;1
33m,A1,194913,196475,ISR;0;0
33m,A1,198225,199662,ISR;0;0
33m,A1,200875,205162,B;FGV;2
33m,A1,206825,207087,SR;0;0
33m,A1,210650,215638,SR;0;0
507,A2,18480,18910,B;0;1
507,A2,19600,20320,P;FG;1
507,A2,25050,25380,B;0;1
507,A2,29850,30110,P;0;1
507,A2,35260,35740,B;0;1
507,A2,35840,36170,SR;HM;1
507,A2,58790,59420,_;V++FG+HM;1
507,A2,62540,63100,_;V+FG;1
507,A3,14960,15140,B;0;0
507,A3,18690,20590,SR;0;0
507,A3,24930,25460,B;0;0
507,A3,29780,30170,P;0;0
507,A1,24976,25398,B;0;0
507,A1,29538,29918,P;0;0
29mb,A2,6430,6890,P;0;1
29mb,A2,13880,14150,SR;0;1
29mb,A2,19535,19775,SR;FG+HM;2
29mb,A2,40750,43100,MUR+SR;1
29mb,A2,66160,66870,RS;0;1
29mb,A2,90580,91830,MUR;0;1
29mb,A2,92460,92740,P;FG;1
29mb,A2,101740,103350,MUR;HM;1
29mb,A2,106230,107690,MUR;FG+HM;2
29mb,A2,116100,116530,SR;HM;1
29mb,A2,120620,121270,_;V;1
29mb,A2,122590,123360,ISR;0;1
29mb,A3,6390,7020,P;0;0
29mb,A3,13830,14220,B;0;0
29mb,A3,15570,15800,P;0;0
29mb,A3,27527,27849,P;0;0
29mb,A3,41964,42532,ISR;0;0
29mb,A3,48553,48844,B;0;0
29mb,A3,66221,66879,SR;0;0
29mb,A3,90603,92050,MUR;0;0
29mb,A3,105502,106266,B;0;0
29mb,A3,116326,116627,SR;0;0
29mb,A3,122965,123181,ISR;0;0
29mb,A1,6370,6840,P;0;0
29mb,A1,14010,14163,SR;0;0
29mb,A1,15399,15792,P;0;0
29mb,A1,41805,42354,ISR;FG;1
29mb,A1,66475,66780,SR;0;0
29mb,A1,75167,75537,B;0;0
29mb,A1,116087,116459,ISR;0;0
29mb,A1,120012,121029,B;V;1
29mb,A1,122822,123200,ISR;0;0
509,A2,170,850,ISR;0;1
509,A2,6400,6790,_;FG+HM;1
509,A2,8090,8300,SR;0;1
509,A2,11990,12460,_;HM;1
509,A2,14740,15090,_;FG+HM;1
509,A2,15410,15840,_;FG+HM;1
509,A2,16590,17110,SR;0;1
509,A2,18110,18420,SR;0;1
509,A2,19310,19820,_;HM;1
509,A2,20220,20530,_;HM;1
509,A2,21120,21460,_;HM;1
509,A2,26790,27240,_;FG+HM;1
509,A2,28640,29000,SR;0;1
509,A2,32440,32920,_;HM;1
509,A2,41320,41930,MUR;HM;1
509,A2,45230,45570,_;HM;1
509,A3,180,910,P;0;0
509,A3,8470,8750,P;0;0
509,A3,16870,17240,SR;0;0
509,A3,18180,18860,SR;0;0
509,A3,28690,29290,ISR;0;0
509,A1,440,840,ISR;0;0
509,A1,8140,8610,SR;0;0
509,A1,16650,16980,SR;0;0
509,A1,18120,18470,SR;0;0
509,A1,28690,28980,SR;0;0
39f,A2,2440,3950,SR;FG+HM;1
39f,A2,4040,5210,MUR+SR;HM;1
39f,A2,6060,8230,SR;V;1
39f,A2,8270,8900,ISR;0;1
39f,A2,9600,10590,MUR;FG;1
39f,A2,10780,12280,MUR;0;1
39f,A2,12620,12780,_;V;0
39f,A2,13665,15535,_V;0
39f,A2,15705,17325,MUR;HM;1
39f,A2,18220,18800,ISR;HM;1
39f,A2,19490,20300,MUR;V;1
39f,A2,20420,21840,MUR;V+FG+HM;2
39f,A2,24180,24950,ISR;HM;1
39f,A2,25760,26830,SR;V+HM;1
39f,A2,28675,29685,ISR;0;1
39f,A2,31240,31500,_;V;0
39f,A2,31625,32025,SR;V;1
39f,A2,33470,33780,SR;V;1
39f,A2,35140,36120,ISR;HM;1
