media_file,split,annotator,item,start,end,SR,ISR,MUR,P,B,V,FG,HM,ME,T
24fc,test,A1,"24fc-(1030, 2040)",1030.0,2040.0,1,0,0,0,0,1,0,0,0,1
24fc,test,Gold,"24fc-(1030, 2040)",1030.0,2040.0,1,0,0,0,0,1,0,1,0,1
24fc,test,A2,"24fc-(1030, 2040)",1090.0,2030.0,1,0,0,0,0,1,1,1,0,2
24fc,test,mas,"24fc-(1030, 2040)",1090.0,2030.0,1,0,0,0,0,1,1,1,0,2
24fc,test,A3,"24fc-(1030, 2040)",1114.0,2010.0,1,0,0,0,0,0,0,1,0,1
24fc,test,bau,"24fc-(1030, 2040)",1114.0,2010.0,1,0,0,0,0,0,0,1,0,1
24fc,test,sad,"24fc-(1030, 2040)",1114.0,2010.0,1,0,0,0,0,0,0,1,0,1
24fc,test,A1,"24fc-(2875, 3508)",2875.0,3508.0,0,0,0,0,1,0,1,0,0,1
24fc,test,Gold,"24fc-(2875, 3508)",2875.0,3508.0,0,0,0,0,1,1,1,0,0,1
24fc,test,A2,"24fc-(2875, 3508)",2970.0,3310.0,0,0,0,0,0,1,0,0,0,2
24fc,test,bau,"24fc-(2875, 3508)",2970.0,3310.0,0,0,0,0,0,1,0,0,0,2
24fc,test,mas,"24fc-(2875, 3508)",2970.0,3310.0,0,0,0,0,0,1,0,0,0,2
24fc,test,sad,"24fc-(2875, 3508)",2970.0,3310.0,0,0,0,0,0,1,0,0,0,2
24fc,test,A2,"24fc-(3800, 3870)",3800.0,3870.0,0,0,0,0,1,0,1,1,0,1
24fc,test,bau,"24fc-(3800, 3870)",3800.0,3870.0,0,0,0,0,1,0,1,1,0,1
24fc,test,mas,"24fc-(3800, 3870)",3800.0,3870.0,0,0,0,0,1,0,1,1,0,1
24fc,test,sad,"24fc-(3800, 3870)",3800.0,3870.0,0,0,0,0,1,0,1,1,0,1
24fc,test,A1,"24fc-(4844, 7367)",4844.0,7367.0,1,0,0,0,0,0,1,0,0,1
