media_file,annotator,start,end,label
24ma,PAR,0,7819,so here we are in Friuli .
24ma,PAR,7819,8460,did I say that right ?
24ma,PAR,8460,9369,Friuli ?
24ma,PAR,9369,17183,tucked away in a remote corner of the Alpine foothills in  northeastern Italy at a little restaurant .
24ma,PAR,17183,22591,I hafta admit that when I travel history is not the first thing on  my mind .
24ma,PAR,22591,25770,food and wine are here .
24ma,PAR,25770,29905,and that's what sold me on Friuli .
24ma,PAR,29905,34712,it is famous as a source of some of Italy's best white wines .
24ma,PAR,34712,41523,we went primarily in search of wines unaware that we soon would  make a culinary detour .
24ma,PAR,41523,57790,occupying the extreme northeast corner of Italy Friuli's scenery  ranges from rugged coastline along the eastern border to placid  plains in the west and the majestic Alps in the north where Italy  butts up against Austria .
24ma,PAR,57790,63781,directly to the south is Venice just a little more than an hour and  a half away .
24ma,PAR,63781,70686,though off the beaten tourist track Friuli is hard in the path of  history .
24ma,PAR,70686,79685,standing at one of the major crossroads between Western Europe and  the East it was conquered by just about everyone who passed by .
24ma,PAR,79685,82687,as a result things look different here .
24ma,PAR,82687,92223,"rather than the familiar cultural overlay of most of Italy, the  central European influence is readily apparent in Friuli ."
24ma,PAR,92223,100781,the architecture tends more toward Austrian grandeur than Tuscan  simplicity .
24ma,PAR,100781,106310,here you'll find gray stone castles rather than sun-drenched villas  .
24ma,PAR,106310,115812,"the people look different too taller and blonder than southern  Italians, and with plenty of German and Central European surnames ."
24ma,PAR,115812,120534,reading adult level xxx .
32m,PAR,0,23001,so here we are in F:riuli [/] F:riuli tucked away in a remote  corner of the Alpine foothills in ≠northeastern ≠Italy at a little  restaurant .
32m,PAR,23001,27797,I hafta admit that when I travel history is not the first thing on  my mind .
32m,PAR,27797,31007,food and wine are .
32m,PAR,31007,34768,and that's what sold me on Friuli .
32m,PAR,34768,40294,it is famous as a source of some of ≠Italy's best white wines .
32m,PAR,40294,47228,we went primarily in search of wines unaware that we soon would  make a ≠culinary detour .
