media_file,task,split,annotator,item,start,end,SR,ISR,MUR,P,B,V,FG,HM,ME,T
24fc,reading,test,A1,"24fc-(1030, 2040)",1030.0,2040.0,1,0,0,0,0,1,0,0,0,1
24fc,reading,test,Gold,"24fc-(1030, 2040)",1030.0,2040.0,1,0,0,0,0,1,0,1,0,1
24fc,reading,test,A2,"24fc-(1030, 2040)",1090.0,2030.0,1,0,0,0,0,1,1,1,0,2
24fc,reading,test,mas,"24fc-(1030, 2040)",1090.0,2030.0,1,0,0,0,0,1,1,1,0,2
24fc,reading,test,A3,"24fc-(1030, 2040)",1114.0,2010.0,1,0,0,0,0,0,0,1,0,1
24fc,reading,test,bau,"24fc-(1030, 2040)",1114.0,2010.0,1,0,0,0,0,0,0,1,0,1
24fc,reading,test,sad,"24fc-(1030, 2040)",1114.0,2010.0,1,0,0,0,0,0,0,1,0,1
24fc,reading,test,A1,"24fc-(2875, 3508)",2875.0,3508.0,0,0,0,0,1,0,1,0,0,1
24fc,reading,test,Gold,"24fc-(2875, 3508)",2875.0,3508.0,0,0,0,0,1,1,1,0,0,1
24fc,reading,test,A2,"24fc-(2875, 3508)",2970.0,3310.0,0,0,0,0,0,1,0,0,0,2
24fc,reading,test,bau,"24fc-(2875, 3508)",2970.0,3310.0,0,0,0,0,0,1,0,0,0,2
24fc,reading,test,mas,"24fc-(2875, 3508)",2970.0,3310.0,0,0,0,0,0,1,0,0,0,2
24fc,reading,test,sad,"24fc-(2875, 3508)",2970.0,3310.0,0,0,0,0,0,1,0,0,0,2
24fc,reading,test,A2,"24fc-(3800, 3870)",3800.0,3870.0,0,0,0,0,1,0,1,1,0,1
24fc,reading,test,bau,"24fc-(3800, 3870)",3800.0,3870.0,0,0,0,0,1,0,1,1,0,1
24fc,reading,test,mas,"24fc-(3800, 3870)",3800.0,3870.0,0,0,0,0,1,0,1,1,0,1
24fc,reading,test,sad,"24fc-(3800, 3870)",3800.0,3870.0,0,0,0,0,1,0,1,1,0,1
24fc,reading,test,A1,"24fc-(4844, 7367)",4844.0,7367.0,1,0,0,0,0,0,1,0,0,1
24fc,reading,test,Gold,"24fc-(4844, 7367)",4844.0,7367.0,1,0,0,0,0,0,1,1,0,1
24fc,reading,test,A2,"24fc-(4844, 7367)",4850.0,7200.0,0,0,0,0,1,1,1,1,0,1
24fc,reading,test,bau,"24fc-(4844, 7367)",4850.0,7200.0,0,0,0,0,1,1,1,1,0,1
24fc,reading,test,mas,"24fc-(4844, 7367)",4850.0,7200.0,0,0,0,0,1,1,1,1,0,1
24fc,reading,test,sad,"24fc-(4844, 7367)",4850.0,7200.0,0,0,0,0,1,1,1,1,0,1
24fc,reading,test,A2,"24fc-(8895, 10282)",8895.0,10235.0,1,0,0,0,0,1,0,1,0,1
24fc,reading,test,Gold,"24fc-(8895, 10282)",8895.0,10282.0,1,0,0,0,0,1,0,1,0,1
24fc,reading,test,bau,"24fc-(8895, 10282)",8895.0,10235.0,1,0,0,0,0,1,0,1,0,1
24fc,reading,test,mas,"24fc-(8895, 10282)",8895.0,10235.0,1,0,0,0,0,1,0,1,0,1
24fc,reading,test,A1,"24fc-(8895, 10282)",8999.0,10282.0,1,0,0,0,0,0,1,0,0,1
24fc,reading,test,sad,"24fc-(8895, 10282)",8999.0,10282.0,1,0,0,0,0,0,1,0,0,1
24fc,reading,test,A1,"24fc-(11164, 11454)",11164.0,11454.0,0,0,0,0,1,0,1,0,0,1
24fc,reading,test,Gold,"24fc-(11164, 11454)",11164.0,11454.0,0,0,0,0,0,0,0,0,0,0
24fc,reading,test,A2,"24fc-(11164, 11454)",11180.0,11420.0,0,0,0,0,0,1,0,1,0,1
24fc,reading,test,bau,"24fc-(11164, 11454)",11180.0,11420.0,0,0,0,0,0,1,0,1,0,1
24fc,reading,test,mas,"24fc-(11164, 11454)",11180.0,11420.0,0,0,0,0,0,1,0,1,0,1
24fc,reading,test,sad,"24fc-(11164, 11454)",11180.0,11420.0,0,0,0,0,0,1,0,1,0,1
24fc,reading,test,A1,"24fc-(11854, 12370)",11854.0,12370.0,0,1,0,0,0,0,0,0,0,0
24fc,reading,test,Gold,"24fc-(11854, 12370)",11854.0,12370.0,0,1,0,0,0,0,0,0,0,0
24fc,reading,test,A2,"24fc-(11854, 12370)",11970.0,12290.0,0,1,0,0,0,1,0,1,0,1
24fc,reading,test,bau,"24fc-(11854, 12370)",11970.0,12290.0,0,1,0,0,0,1,0,1,0,1
24fc,reading,test,mas,"24fc-(11854, 12370)",11970.0,12290.0,0,1,0,0,0,1,0,1,0,1
24fc,reading,test,sad,"24fc-(11854, 12370)",11970.0,12290.0,0,1,0,0,0,1,0,1,0,1
